fips,pollutant,year,pred_wght,state_abbr,lat,lon
31117,pm25,2015,4.4021287012987,NE,41.5733077922078,-100.986400742115
31119,pm25,2015,6.58692134075009,NE,42.0039084614061,-97.4616471126276
31121,pm25,2015,6.13369572848948,NE,41.1311999490121,-98.0391998725303
31123,pm25,2015,5.50419494843316,NE,41.7071243752479,-103.159309401031
31125,pm25,2015,6.08034514323962,NE,41.4038312182062,-97.8949706827309
31127,pm25,2015,6.79382334161148,NE,40.4039584575055,-95.8363008554084
31129,pm25,2015,6.51891184222222,NE,40.1150225555556,-98.0611439111111
31131,pm25,2015,6.6622648729352,NE,40.6694949555273,-96.0298763151207
31133,pm25,2015,6.72819559682654,NE,40.1349231157591,-96.1840813919942
31135,pm25,2015,5.77872394276094,NE,40.8472757912458,-101.672505723906
31137,pm25,2015,6.24591596756639,NE,40.4681509904223,-99.4067896713104
31139,pm25,2015,6.36801964629783,NE,42.2626630333058,-97.592089939444
31141,pm25,2015,6.26159125756119,NE,41.4690131308745,-97.3874687719081
31143,pm25,2015,5.90933182389937,NE,41.1747599889012,-97.555740399556
31145,pm25,2015,6.08735295160561,NE,40.2054747444595,-100.587766892809
31147,pm25,2015,7.18081531149109,NE,40.099946633983,-95.6735386464187
31149,pm25,2015,5.61984946264744,NE,42.536446395806,-99.4952433158584
31151,pm25,2015,6.49700573943662,NE,40.5782541126761,-97.0200121197183
31153,pm25,2015,6.77628112194661,NE,41.1531062112818,-96.0339011728784
31155,pm25,2015,6.25758080173244,NE,41.1995714870067,-96.5710765014437
31157,pm25,2015,5.7386724830944,NE,41.8650185501758,-103.680416608061
31159,pm25,2015,6.12428526328358,NE,40.8735908358209,-97.1060404298508
31161,pm25,2015,5.21563596269885,NE,42.6993021393308,-102.398741817517
31163,pm25,2015,5.84636344225888,NE,41.2236363261421,-98.9716256979695
31165,pm25,2015,4.54955077803204,NE,42.3796514111365,-103.824931350114
31167,pm25,2015,6.2076898303149,NE,41.9856562897699,-97.2516965084027
31169,pm25,2015,6.29183852716144,NE,40.1792307574598,-97.6253453136955
31171,pm25,2015,4.91533037094281,NE,41.9668217928903,-100.546839258114
31173,pm25,2015,6.28642698559078,NE,42.1594080979827,-96.515688832853
31175,pm25,2015,5.982848342723,NE,41.5733701408451,-98.9477384976526
31177,pm25,2015,6.08278003558367,NE,41.5070522783434,-96.1583165118118
31179,pm25,2015,6.22513491922876,NE,42.2219299635227,-97.0630339447629
31181,pm25,2015,6.12060389296957,NE,40.2002677859391,-98.4851804302204
31183,pm25,2015,4.84992611246944,NE,41.8805732273839,-98.5437968215159
31185,pm25,2015,6.08923784559093,NE,40.8643709989023,-97.6053989828028
